"Title","Year","Type","Description","Link","KTS","LifeCourse","Tag1","Tag2","Tag3","Tag4"
"The Food Foundation","","Link","The Food Foundation are a registered charity working to understand why the UK food system is failing to deliver the best outcomes for citzens and the planet and to drive change in food policy and business practice to ensure everyone can afford and access healthy and sustainable food.","https://foodfoundation.org.uk/who-we-are","Food Insecurity","","","","",""
"Feeding Britain","","Link","Feeding Britain wants to demonstrate how hunger and its underlying causes can be addressed, and to use this knowledge and evidence to advocate for systemic change to eliminate hunger in the UK.","https://feedingbritain.org/projects-and-programmes/best-practices-guides/","Food Insecurity","","","","",""
"FareShare","","Link","FareShare charity belive that no good food should go to waste. They redistribute surplus food to charities that turn it into meals.","https://fareshare.org.uk/what-we-do/","Food Insecurity","","","","",""
"Adult Education - Shop, cook and share for adults with learning disabilities","","Link","Shop, cook, share is a practical cooking course. Develop skills for independent living. Learn about healthy food choices, budgeting and shopping. Enjoy sharing a meal and making friends.","https://courses.dacesderbyshire.org.uk/CourseDetailsView.asp?ID1=1000&ID2=3650&ID3=1","Food Insecurity","","","","",""
"Information and support on infant feeding, Derbyshire County Council","","Link","Advice and guidance to help Derbyshire families find support around infant feeding.","https://derbyshire-observatory-bucket.s3.eu-west-2.amazonaws.com/uploads/reports/documents/health/jsna/Infant_feeding_information_and_support_for_Derbyshire_families.pdf","Food Insecurity","Breastfeeding","","","",""
"Emergency Infant Formula Pathway Case Study, Derbyshire County Council","2026","Report","Case Study on Emergency Infant Formula Pathway","https://derbyshire-observatory-bucket.s3.eu-west-2.amazonaws.com/uploads/reports/documents/health/jsna/Emergency_Infant_Formula_Pathway_info_case_study.pdf","Food Insecurity","Breastfeeding","","","",""
"Derbyshire County Council Emergency Infant Formula Pathway (EIFP) for voluntary, community sector or self referral","2026","Report","Derbyshire County Council Emergency Infant Formula Pathway (EIFP) for voluntary, community sector or self referral","https://derbyshire-observatory-bucket.s3.eu-west-2.amazonaws.com/uploads/reports/documents/health/jsna/Derbyshire_County_Council_Emergency_Infant_Formula_Pathway_(EIFP)_CVS_and_self_referral_pathway.pdf","Food Insecurity","Breastfeeding","","","",""
"Derbyshire County Council Emergency Infant Formula Pathway (EIFP) for professionals","2026","Report","Derbyshire County Council Emergency Infant Formula Pathway (EIFP) for professionals","https://derbyshire-observatory-bucket.s3.eu-west-2.amazonaws.com/uploads/reports/documents/health/jsna/Derbyshire_County_Council_Emergency_Infant_Formula_Pathway_(EIFP)_Professional_referral_pathway.pdf","Food Insecurity","Breastfeeding","","","",""
"Supporting families who are breastfeeding and formula feeding","2026","Report","Guidance for food project staff and volunteers on the new Derbyshire Emergency Infant Formula Pathway","https://derbyshire-observatory-bucket.s3.eu-west-2.amazonaws.com/uploads/reports/documents/health/jsna/Infant_feeding_guidance_for_food_bank_and_pantry_staff_and_volunteers-Derbyshire_county.pdf","Food Insecurity","Breastfeeding","","","",""
"A UK government food strategy for England, considering the wider UK food system, Department for Environment, Food & Rural Affairs, July 2025","2025","Strategy","Policy paper: A UK government food strategy for England, considering the wider UK food system","https://www.gov.uk/government/publications/a-uk-government-food-strategy-for-england/a-uk-government-food-strategy-for-england-considering-the-wider-uk-food-system","Food Insecurity","Breastfeeding","","","",""
"NHS Health Checks","","Link","The NHS Health Check is a free check-up of the health of your heart and blood vessels (cardiovascular health).","https://www.nhs.uk/tests-and-treatments/nhs-health-check/","Stroke","Stay Well","","","",""
"Chesterfield Stroke Group","","Link","Chesterfield Stroke Group is a volunteer-led peer support group, meaning that it is run by people who have had a stroke, or have a relative or friend who has had a stroke. The group is for stroke survivors and carers/ families of stroke survivors from the North Derbyshire area only.","https://www.stroke.org.uk/stroke/support/groups/chesterfield-stroke-group","Stroke","Stay Well","","","",""
"Derby Stroke Group","","Link","Derby Stroke Group is a social group that offers support to anyone who has survived stroke or is caring for someone who has.","https://www.stroke.org.uk/stroke/support/online/derby-stroke-club","Stroke","Stay Well","","","",""
"University Hospitals of Derby and Burton Stroke services","","Link","Services at University Hospitals of Derby and Burton for stroke patients include treatment at the Emergency Department and stroke rehabilition.","https://www.uhdb.nhs.uk/service-stroke/","Stroke","Stay Well","","","",""
"Directory of Community Stroke Services","2016","Report","A guide for stroke survivors, families, and carers in South Derbyshire","https://healthinnovation-em.org.uk/images/Section_4_-_How_we_are_making_a_difference/Stroke/South_Derbyshire_digital_version.pdf","Stroke","Stay Well","","","",""
"Think Ahead Stroke Activities and Groups","","Link","This site lists the current activities and groups provided by the Think Ahead Stroke charity.","https://www.think-ahead.org.uk/activities-and-groups?gad_source=1&gad_campaignid=11658823098&gclid=CjwKCAjwlOrFBhBaEiwAw4bYDXmP3yfzSrVpCmcppmudwmrRdEBHEHv4cLDqvuirzpy4YmNQ2sEYbhoCO7UQAvD_BwE","Stroke","Stay Well","","","",""
"Derbyshire Stroke and Dementia Centre","","Link","The Derbyshire Stroke and Dementia Centre supports people living with the long term challenges of stroke, dementia, head injury and other neurological conditions.","https://www.strokesupport.org.uk/","Stroke","Stay Well","Dementia","","",""
"Best Start in Life",NA,"Link","The Best Start in Life playbook and data profiles contain personalised data for your local authority.","https://products.nesta.org.uk/bsil","Early Years Development","Start Well",NA,NA,NA,NA
"Lyme Disease Treatment Guidance in Adults",NA,"Report","This guidance summarises diagnosis and antibiotic management for adult Lyme disease, including when to treat empirically, when to use serology, and which regimens to use for different clinical presentations. It also notes that persistent symptoms after treatment should usually prompt further assessment rather than more antibiotics.","https://www.nhstaysideadtc.scot.nhs.uk/Antibiotic%20site/pdf%20docs/Lyme%20Disease.pdf","Lyme Disease","All",NA,NA,NA,NA
"Deaths from suicide and injury of undetermined intent in Derby City and Derbyshire County","2025","Report","This 2025 report summarises deaths registered in 2024 from suicide and injury of undetermined intent among residents of Derby City and Derbyshire County, to describe local patterns and support suicide prevention planning.","https://derbyshire-observatory-bucket.s3.eu-west-2.amazonaws.com/uploads/reports/documents/health/life_expectancy_and_mortality/suicide/suicides_in_derby_and_derbyshire_report_2025.pdf","Suicides","All",NA,NA,NA,NA
"The Derby and Derbyshire Self-harm and Suicide Prevention Strategic Framework","2026-30","Strategy","This strategic framework outlines a coordinated, multi-agency approach for 2026–2030 to prevent and reduce self-harm and suicide in Derby and Derbyshire, setting priorities, guiding local action, and encouraging collective responsibility across communities, services, and organisations.","https://derbyshire-observatory-bucket.s3.eu-west-2.amazonaws.com/uploads/reports/documents/health/life_expectancy_and_mortality/suicide/derby_and_derbyshire_suicide_psf_2026-30.pdf","Suicides","All",NA,NA,NA,NA

Postvention Support for People Bereaved By Suicide,NA,Link,"This webpage provides information on self-harm and suicide prevention in Derby and Derbyshire, including guidance on accessing support, practical steps individuals and communities can take, and resources to help people support themselves and others.",https://joinedupcarederbyshire.co.uk/stay-well/promoting-mental-health-and-wellbeing/self-harm-and-suicide-prevention/,Suicides,All,NA,NA,NA,NA

Digital Derbyshire,NA,Link,"Digital Derbyshire was a multimillion pound partnership led by Derbyshire County Council and Openreach, and was supported by the UK Government, D2N2 Local Enterprise Partnership and the European Regional Development Fund.",https://www.digitalderbyshire.org.uk/home.aspx,Digital Inclusion,All,NA,NA,NA,NA

Adult Social Care Digital Strategy,NA,Link,"This strategy sets out, over the next 3 years, our aims and priorities for how we'll use digital technology to deliver our services. It also explains how we'll support our workforce and our service users to deliver and access our services.",https://www.derbyshire.gov.uk/social-health/adult-care-and-wellbeing/strategy/digital-strategy/adult-social-care-digital-strategy.aspx,Digital Inclusion,All,NA,NA,NA,NA

Digital Development Strategy,2024‑2030,Report,"The UK’s Digital Development Strategy 2024–2030 sets out how digital technologies can drive inclusive, safe, and sustainable development by expanding connectivity, strengthening digital systems and skills, and addressing risks such as inequality, online harm, and environmental impact.",https://assets.publishing.service.gov.uk/media/6613e7f7c4c84d4b31346a68/FCDO-Digital-Development-Strategy-2024-2030.pdf,Digital Inclusion,All,NA,NA,NA,NA

Home Office 2030 Digital Strategy,2025,Report,"The Home Office 2030 Digital Strategy outlines how the department will use AI, data, and modern digital systems to improve public services, strengthen security, enhance efficiency, and build a more agile, cost-effective, and digitally skilled organisation.",https://assets.publishing.service.gov.uk/media/6915bf34eba5bda2026fc8f7/Home_Office_2030_Digital_Strategy.pdf,Digital Inclusion,All,NA,NA,NA,NA

Adult Social Care and Public Health Prevention Strategy,2025-2027,Strategy,"Derbyshire’s Adult Social Care and Public Health Joint Prevention Strategy 2025–2027 sets out a partnership approach to improving wellbeing and independence by shifting towards earlier intervention, tackling loneliness and unmet need, and building on the strengths of communities, local services, and the voluntary sector.",https://www.derbyshire.gov.uk/site-elements/documents/pdf/social-health/care-health-service-providers/commissioning/adult-social-care-and-public-health-joint-prevention-strategy-2025-to-2027.pdf,Loneliness,All,NA,NA,NA,NA

Get Britain Working White Paper,2024,Strategy,"Sets out the UK Government’s proposals to reform employment, health and skills support to tackle economic inactivity and help more people into good work.",https://www.gov.uk/government/publications/get-britain-working-white-paper,Unemployment,All,NA,NA,NA,NA

Get East Midlands Working Plan,2025–35,Strategy,"A 10-year regional plan intended to help more people across the East Midlands access good jobs, develop skills, and improve health and wellbeing.",https://www.eastmidlands-cca.gov.uk/news/east-mids-working-plan/,Unemployment,All,NA,NA,NA,NA

Research & Evidence IPS Grow,NA,Link,"Summarises the evidence base for Individual Placement and Support, highlighting that the “place then train” approach is more effective than traditional vocational approaches for helping people into work.",https://ipsgrow.org.uk/about/what-is-ips/research/,Unemployment,All,NA,NA,NA,NA

IPS in the UK: Improving employment support in mental health services,2017,Report,"Explains the IPS model, outlines the supporting evidence, and describes how Centre for Mental Health has supported IPS implementation in UK mental health services.",https://www.centreformentalhealth.org.uk/wp-content/uploads/2023/11/centre_for_mental_health_ips_in_uk.pdf,Unemployment,All,NA,NA,NA,NA

Active labor market as an instrument to reduce unemployment,2023,Report,Examines the long-run effects of active labour market policy across nine OECD countries and argues that such policies can reduce unemployment.,https://www.sciencedirect.com/science/article/pii/S2667319323000083,Unemployment,All,NA,NA,NA,NA

Disability Employment Service,NA,Link,Derbyshire County Council service page outlining free employment support for Derbyshire residents aged 18+ with a disability or long-term health condition.,https://www.derbyshire.gov.uk/working-for-us/equal-opportunities/disability-employment-service/disability-employment-service.aspx,Unemployment,All,NA,NA,NA,NA

Disability Employer Engagement Derbyshire (DEED),NA,Link,Derbyshire County Council page describing support for employers who want to recruit or retain people with disabilities or long-term health conditions.,https://www.derbyshire.gov.uk/business/disability-employer-engagement-derbyshire/disability-employer-engagement-derbyshire-deed.aspx,Unemployment,All,NA,NA,NA,NA

Employing disabled people and people with health conditions,NA,Link,"GOV.UK guidance for employers on recruiting, supporting and retaining disabled people and people with long-term health conditions at work.",https://www.gov.uk/government/publications/employing-disabled-people-and-people-with-health-conditions/employing-disabled-people-and-people-with-health-conditions,Unemployment,All,NA,NA,NA,NA
